Consigne : 8574
8574,0,0
8575,-1,0
8574,0,0
8575,-1,0
8575,-1,-1
8575,-1,-1
8575,-1,-1
8574,0,-1
8575,-1,-1
8575,-1,-2
8572,2,0
8575,-1,-1
8574,0,-1
8574,0,-1
8573,1,0
8574,0,-1
8573,1,0
8575,-1,-1
8575,-1,-1
8571,3,0
8574,0,0
8574,0,0
8572,2,0
8574,0,0
8575,-1,0
8575,-1,-1
8573,1,0
8574,0,0
8574,0,0
8575,-1,-1
8574,0,0
8575,-1,-1
8574,0,-1
8574,0,-1
8572,2,0
8572,2,0
8574,0,0
8575,-1,0
8572,2,0
8574,0,0
8574,0,0
8575,-1,0
8574,0,0
8575,-1,0
8575,-1,0
8574,0,0
8575,-1,-1
8574,0,0
8575,-1,-1
8574,0,-1
8575,-1,-1
8574,0,-1
8574,0,-1
8574,0,-1
8574,0,-1
8575,-1,-1
8571,3,0
8575,-1,-1
8574,0,-1
8573,1,0
8575,-1,-1
8574,0,-1
8574,0,-1
8573,1,0
8574,0,0
8575,-1,-1
8574,0,-1
8574,0,-1
8575,-1,-1
8573,1,0
8575,-1,-1
8574,0,-1
8575,-1,-1
8572,2,0
8574,0,-1
8568,6,2
8565,9,5
8568,6,5
8566,8,8
8567,7,10
8565,9,12
8566,8,14
8567,7,16
8568,6,17
8566,8,19
8571,3,19
8569,5,20
8572,2,20
8571,3,21
8574,0,20
8574,0,20
8575,-1,20
8577,-3,18
8576,-2,18
8579,-5,16
8579,-5,15
8581,-7,12
8579,-5,12
8582,-8,9
8581,-7,7
8583,-9,5
8582,-8,3
8581,-7,1
8583,-9,0
8583,-9,-3
8582,-8,-4
8585,-11,-8
8583,-9,-10
8584,-10,-12
8584,-10,-15
8584,-10,-17
8585,-11,-20
8586,-12,-24
8584,-10,-26
8586,-12,-29
8586,-12,-32
8585,-11,-35
8585,-11,-37
8584,-10,-40
8585,-11,-43
8585,-11,-45
8587,-13,-49
8586,-12,-50
8590,-16,-50
8590,-16,-50
8594,-20,-50
8597,-23,-50
8597,-23,-50
8598,-24,-50
8604,-30,-50
8605,-31,-50
8609,-35,-50
8611,-37,-50
8613,-39,-50
8616,-42,-50
8618,-44,-50
8621,-47,-50
8623,-49,-50
8624,-50,-50
8628,-54,-50
8628,-54,-50
8632,-58,-50
8634,-60,-50
8635,-61,-50
8638,-64,-50
8638,-64,-50
8641,-67,-50
8641,-67,-50
8642,-68,-50
8636,-62,-50
8633,-59,-50
8634,-60,-50
8632,-58,-50
8633,-59,-50
8633,-59,-50
8634,-60,-50
8634,-60,-50
8634,-60,-50
8636,-62,-50
8636,-62,-50
8626,-52,-50
8617,-43,-50
8612,-38,-50
8604,-30,-50
8597,-23,-50
8593,-19,-50
8587,-13,-50
8583,-9,-50
8579,-5,-50
8575,-1,-49
8572,2,-47
8571,3,-46
8567,7,-43
8567,7,-42
8564,10,-38
8565,9,-36
8563,11,-33
8564,10,-31
8563,11,-28
8564,10,-25
8561,13,-21
8563,11,-19
8561,13,-15
8564,10,-14
8564,10,-11
8564,10,-9
8564,10,-6
8566,8,-5
8565,9,-2
8566,8,0
8566,8,1
8567,7,2
8563,11,6
8568,6,6
8567,7,8
8568,6,9
8566,8,12
8570,4,12
8567,7,14
8570,4,14
8568,6,16
8570,4,17
8570,4,18
8570,4,19
8572,2,19
8571,3,20
8572,2,20
8572,2,21
8572,2,21
8571,3,22
8572,2,22
8572,2,23
8573,1,23
8573,1,23
8574,0,23
8572,2,24
8572,2,24
8573,1,24
8574,0,24
8573,1,24
8574,0,24
8574,0,24
8574,0,24
8573,1,25
8574,0,24
8574,0,24
8573,1,25
8575,-1,24
8575,-1,24
8573,1,25
8574,0,24
8575,-1,24
8574,0,24
8573,1,25
8576,-2,23
8574,0,24
8576,-2,23
8575,-1,23
8575,-1,23
8575,-1,22
8575,-1,22
8573,1,23
8576,-2,22
8574,0,22
8575,-1,22
8572,2,23
8576,-2,21
8575,-1,21
8575,-1,21
8575,-1,21
8576,-2,20
