Consigne : 8579
8582,-3,-1
8583,-4,-2
8581,-2,-2
8582,-3,-3
8582,-3,-4
8578,1,-3
8581,-2,-4
8581,-2,-5
8580,-1,-5
8581,-2,-5
8579,0,-5
8580,-1,-5
8581,-2,-6
8579,0,-6
8580,-1,-6
8580,-1,-6
8579,0,-6
8581,-2,-7
8580,-1,-7
8578,1,-6
8581,-2,-8
8578,1,-6
8580,-1,-7
8579,0,-7
8580,-1,-8
8579,0,-7
8579,0,-7
8579,0,-7
8579,0,-7
8579,0,-7
8579,0,-7
8579,0,-7
8580,-1,-8
8579,0,-8
8578,1,-7
8579,0,-7
8579,0,-7
8579,0,-7
8579,0,-7
8580,-1,-8
8577,2,-6
8579,0,-7
8578,1,-6
8579,0,-7
8579,0,-7
8578,1,-6
8579,0,-7
8578,1,-6
8579,0,-6
8578,1,-6
8579,0,-6
8578,1,-5
8580,-1,-6
8580,-1,-7
8579,0,-6
8579,0,-6
8579,0,-6
8580,-1,-7
8579,0,-7
8576,3,-5
8580,-1,-6
8580,-1,-7
8577,2,-5
8578,1,-5
8579,0,-6
8574,5,-3
8577,2,-3
8576,3,-2
8575,4,-1
8574,5,0
8577,2,0
8575,4,1
8576,3,1
8575,4,3
8576,3,3
8574,5,5
8576,3,5
8572,7,8
8576,3,8
8576,3,8
8573,6,11
8575,4,11
8574,5,13
8575,4,13
8575,4,14
8575,4,15
8575,4,16
8575,4,17
8575,4,18
8575,4,19
8576,3,20
8576,3,21
8577,2,21
8575,4,22
8577,2,22
8578,1,22
8578,1,23
8578,1,23
8577,2,24
8578,1,24
8579,0,23
8579,0,23
8575,4,25
8579,0,24
8579,0,24
8578,1,25
8580,-1,24
8579,0,24
8580,-1,24
8579,0,24
8579,0,24
8580,-1,23
8578,1,24
8579,0,24
8577,2,25
8581,-2,23
8579,0,24
8580,-1,23
8580,-1,23
8581,-2,22
8580,-1,22
8580,-1,22
8579,0,23
8579,0,23
8581,-2,21
8580,-1,21
8580,-1,21
8577,2,23
8581,-2,21
8581,-2,20
8580,-1,20
8579,0,21
8580,-1,20
8580,-1,20
8581,-2,19
8580,-1,19
8581,-2,18
8581,-2,18
8582,-3,17
8581,-2,17
8582,-3,16
8581,-2,15
8583,-4,14
8582,-3,13
8582,-3,13
8583,-4,11
8582,-3,11
8583,-4,10
8584,-5,8
8584,-5,7
8579,0,8
8580,-1,8
8580,-1,7
8581,-2,7
8580,-1,7
8581,-2,6
8582,-3,5
8580,-1,5
8581,-2,4
8579,0,5
8578,1,6
8580,-1,5
8582,-3,3
8579,0,4
8581,-2,3
8579,0,4
8581,-2,3
8580,-1,3
8581,-2,2
8579,0,3
8580,-1,2
8581,-2,1
8580,-1,1
8581,-2,0
8581,-2,0
8580,-1,0
8580,-1,0
8579,0,0
8576,3,2
8580,-1,0
8579,0,1
8575,4,3
8578,1,2
8579,0,2
8581,-2,1
8579,0,1
8578,1,2
8578,1,2
8576,3,3
8577,2,4
8576,3,5
8576,3,5
8574,5,7
8576,3,7
8575,4,9
8576,3,9
8575,4,10
8576,3,11
8575,4,12
8575,4,13
8575,4,14
8576,3,15
8577,2,15
8577,2,15
8575,4,17
8577,2,17
8577,2,17
8577,2,18
8577,2,18
8578,1,18
8578,1,19
8578,1,19
8578,1,19
8577,2,20
8579,0,19
8577,2,20
8578,1,20
8578,1,21
8580,-1,20
8578,1,21
8579,0,20
8578,1,21
8578,1,21
8579,0,21
8580,-1,20
8577,2,22
8581,-2,20
8579,0,21
8581,-2,19
8580,-1,19
8579,0,20
8580,-1,19
8579,0,20
8581,-2,18
8580,-1,18
8580,-1,18
8580,-1,18
8579,0,18
8581,-2,17
8580,-1,17
8580,-1,17
8580,-1,17
8579,0,17
8580,-1,16
8580,-1,16
8581,-2,15
8578,1,17
8581,-2,15
8579,0,16
8580,-1,15
8580,-1,15
8581,-2,14
8579,0,15
8580,-1,14
8581,-2,13
8580,-1,13
8580,-1,13
8579,0,14
8580,-1,13
8580,-1,13
8581,-2,12
8579,0,13
8581,-2,11
8579,0,12
8580,-1,11
8579,0,12
8578,1,12
8580,-1,11
8581,-2,11
8579,0,11
8580,-1,11
8581,-2,10
8580,-1,10
8580,-1,10
8579,0,10
8578,1,11
8580,-1,10
8579,0,10
8579,0,10
8581,-2,9
8580,-1,9
8580,-1,9
8580,-1,8
8580,-1,8
8579,0,9
8580,-1,8
8580,-1,8
8580,-1,7
8580,-1,7
8577,2,9
8581,-2,7
8578,1,8
8580,-1,7
8580,-1,7
8579,0,7
8580,-1,7
8579,0,7
8577,2,8
8581,-2,6
8580,-1,6
8578,1,7
8581,-2,6
8578,1,7
